abstract,cleaned_abstract,topic
"A method for identifying cyberbullying may include obtaining content from a first electronic device associated with a first user; identifying, using a machine learning model, the cyberbullying of the first user based on the content obtained from the first electronic device; and providing anonymized information related to the cyberbullying to a second electronic device associated with a second user",method identifying cyberbullying may include obtaining content first electronic device associated first user identifying using machine learning model cyberbullying first user based content obtained first electronic device providing anonymized information related cyberbullying second electronic device associated second user,0
"A method of determining a risk of cyberbullying in accordance with the present disclosure may include electronically intercepting an outgoing electronic communication at a source of the outgoing electronic communication. The method may additionally include determining a cyberbullying risk score for the outgoing electronic communication, the cyberbullying risk score based at least on content of the outgoing electronic communication, user history of a user sending the outgoing electronic communication, and a third party policy. The method may also include, in response to the cyberbullying risk score exceeding a threshold, providing a recommended course of action to the user sending the outgoing electronic communication.",method determining risk cyberbullying accordance present disclosure may include electronically intercepting outgoing electronic communication source outgoing electronic communication method may additionally include determining cyberbullying risk score outgoing electronic communication cyberbullying risk score based least content outgoing electronic communication user history user sending outgoing electronic communication third party policy method may also include response cyberbullying risk score exceeding threshold providing recommended course action user sending outgoing electronic communication,0
"A server for storing and managing online threat data according to an embodiment of the present disclosure includes: an online threat data collection unit that collects online threat data from an online threat data providing server, an online threat data analysis unit that analyzes the online threat data to extract an online threat string, and uses the online threat string as an index to generate information for retrieving the online threat data; and a database in which information generated by the online threat data analysis unit is stored.",server storing managing online threat data according embodiment present disclosure includes online threat data collection unit collect online threat data online threat data providing server online threat data analysis unit analyzes online threat data extract online threat string us online threat string index generate information retrieving online threat data database information generated online threat data analysis unit stored,2
"A machine learning-based method for accelerating a generation of automated fraud or abuse detection workflows in a digital threat mitigation platform includes identifying a plurality of distinct digital event features indicative of digital fraud; automatically deriving a plurality of distinct digital event decisioning criteria based on the plurality of distinct digital event features and a digital event data corpus associated with a target subscriber; automatically constructing a probationary automated fraud or abuse detection workflow based on the plurality of distinct digital event decisioning criteria, and deploying the probationary automated fraud or abuse detection workflow to a target digital fraud prevention environment associated with the target subscriber.",machine learningbased method accelerating generation automated fraud abuse detection workflow digital threat mitigation platform includes identifying plurality distinct digital event feature indicative digital fraud automatically deriving plurality distinct digital event decisioning criterion based plurality distinct digital event feature digital event data corpus associated target subscriber automatically constructing probationary automated fraud abuse detection workflow based plurality distinct digital event decisioning criterion deploying probationary automated fraud abuse detection workflow target digital fraud prevention environment associated target subscriber,2
"Additional background information is used with a trained neural network based model to help classify whether text is a subtly and/or ambiguously offensive. This additional background information can come from different sources such as the article on which the comment was made, world knowledge about the external entities (e.g., Wikipedia, Urban Dictionary), phrases referenced in the text being classified, and, the context of the previous comments/text in the thread. The background information is retrieved based on key entities (e.g., people, places things) and/or key phrases in the comment. Sentence matrix encodings are built for both the comment and the background information. The background information encoding is used to condition the comment encoding. The background information encoding, and the conditioned comment encoding are fed to a trained multi-level perceptron to classify the comment as hate speech or non-hate speech.",additional background information used trained neural network based model help classify whether text subtly andor ambiguously offensive additional background information come different source article comment made world knowledge external entity wikipedia urban dictionary phrase referenced text classified context previous commentstext thread background information retrieved based key entity people place thing andor key phrase comment sentence matrix encoding built comment background information background information encoding used condition comment encoding background information encoding conditioned comment encoding fed trained multilevel perceptron classify comment hate speech nonhate speech,0
"The disclosure discloses a cyberbullying detection method and system. The detection method includes: obtaining a to-be-detected data set, where the to-be-detected data set includes multiple sentence texts of multiple users; classifying the to-be-detected data set by using a classification model based on a bidirectional recurrent neural network, to obtain a probability that each sentence text belongs to cyberbullying; obtaining a sentence text whose probability of belonging to cyberbullying is greater than a specified probability, to obtain a first sentence text set; obtaining an attention value of each sentence text in the first sentence text set and an attention value of each user; detecting, according to the attention value of each sentence text in the first sentence text set and the attention value of each user, whether each sentence text belongs to cyberbullying. The disclosure can achieve a good text classification and identification effect, high accuracy, and a low loss rate.",disclosure discloses cyberbullying detection method system detection method includes obtaining tobedetected data set tobedetected data set includes multiple sentence text multiple user classifying tobedetected data set using classification model based bidirectional recurrent neural network obtain probability sentence text belongs cyberbullying obtaining sentence text whose probability belonging cyberbullying greater specified probability obtain first sentence text set obtaining attention value sentence text first sentence text set attention value user detecting according attention value sentence text first sentence text set attention value user whether sentence text belongs cyberbullying disclosure achieve good text classification identification effect high accuracy low loss rate,0
"A harassment detection apparatus includes: an executing unit configured to execute a session of a shared environment; an input unit configured to receive biometric data, the biometric data being associated with a plurality of users participating in the executed session of the shared environment; a generating unit configured to generate, based on at least a part of the biometric data, emotion data associated with the plurality of users, the emotion data comprising a valence value and/or an arousal value associated with each of the plurality of users; a detection unit configured to detect, responsive to at least a first part of the emotion data satisfying one or more of a first set of criteria, one or more first users associated with the at least first part of the emotion data; and a modifying unit configured to modify, responsive to the detection of the one or more first users, one or more aspects of the shared environment.",harassment detection apparatus includes executing unit configured execute session shared environment input unit configured receive biometric data biometric data associated plurality user participating executed session shared environment generating unit configured generate based least part biometric data emotion data associated plurality user emotion data comprising valence value andor arousal value associated plurality user detection unit configured detect responsive least first part emotion data satisfying one first set criterion one first user associated least first part emotion data modifying unit configured modify responsive detection one first user one aspect shared environment,-1
"According to an embodiment of the present disclosure, a server for providing online threat data based on user-customized keywords includes: an online threat data collection unit that accesses a channel of a messenger program and collects channel- specific online threat data; an online threat database construction unit that analyzes the online threat data to extract a string, uses the string as an index to generate information for retrieving the online threat data, and stores the generated information in a channel- specific database; when the user-customized keywords and user identifiers are received from a user terminal through a user-customized keyword registration procedure, a user-customized keyword database construction unit that matches the user-customized keywords with the user identifiers and stores the matched user-customized keywords and user identifiers in a user-customized keyword database; and when the user terminal logs in using the user identifiers, an online threat data providing unit that extracts a pre-registered user-customized keyword corresponding to the user identifier from the user-customized keyword database, extracts the channel-specific online threat data corresponding to the user-customized keywords from the channel-specific database, and provides the extracted online threat data to the user terminal.",according embodiment present disclosure server providing online threat data based usercustomized keywords includes online threat data collection unit access channel messenger program collect channel specific online threat data online threat database construction unit analyzes online threat data extract string us string index generate information retrieving online threat data store generated information channel specific database usercustomized keywords user identifier received user terminal usercustomized keyword registration procedure usercustomized keyword database construction unit match usercustomized keywords user identifier store matched usercustomized keywords user identifier usercustomized keyword database user terminal log using user identifier online threat data providing unit extract preregistered usercustomized keyword corresponding user identifier usercustomized keyword database extract channelspecific online threat data corresponding usercustomized keywords channelspecific database provides extracted online threat data user terminal,2
"A system for preventing cyberbullying is disclosed. An input message analysis module (110) receives an input message of a multilingual format from a sender, pre-process the input message by using a tokenization technique for splitting the input message into one or more tokens, identifies a context and content associated with the one or more tokens, analyzes sentiment associated with the one or more tokens. A message categorization module (120) employs the trained machine learning model to detect presence of one or more offensive keywords within the input message when the input message is categorized as a harmful message category. A message modification recommendation module (130) generates alert for preventing a recipient from the cyberbullying, recommends one or more substitute words associated with the one or more offensive keywords to the sender for modification of the content of the input message. A sender grading module (140) calculates a score corresponding to a sender's decision correlated with the one or more substitute words.",system preventing cyberbullying disclosed input message analysis module receives input message multilingual format sender preprocess input message using tokenization technique splitting input message one token identifies context content associated one token analyzes sentiment associated one token message categorization module employ trained machine learning model detect presence one offensive keywords within input message input message categorized harmful message category message modification recommendation module generates alert preventing recipient cyberbullying recommends one substitute word associated one offensive keywords sender modification content input message sender grading module calculates score corresponding sender decision correlated one substitute word,0
"In some cases, one or more heuristics can be automatically generated using a small dataset of segments previously labeled by one or more domain experts. The generated one or more heuristics along with one or more patterns can be used to assign training labels to a large unlabeled dataset of segments. A subset of segments representing an occurrence of verbal harassment can be selected using the assigned training labels. Randomly selected segments can be used as being indicative of a non-occurrence of verbal harassment. The selected subset of segments and randomly selected segments can be used to train one or more machine learning models for verbal harassment detection.",case one heuristic automatically generated using small dataset segment previously labeled one domain expert generated one heuristic along one pattern used assign training label large unlabeled dataset segment subset segment representing occurrence verbal harassment selected using assigned training label randomly selected segment used indicative nonoccurrence verbal harassment selected subset segment randomly selected segment used train one machine learning model verbal harassment detection,0
